@relation WekaDemo

@attribute team {Barcelona,Atlético,R.Madrid,Málaga,Betis,Rayo,Levante,Valencia,R.Sociedad,Valladolid,Sevilla,Getafe,Athletic,Zaragoza,Espanyol,Celta,Granada,Osasuna,Mallorca,Deportivo,Elche,Almería,Girona,Alcorcón,BarcelonaB,Córdoba,LasPalmas,Villarreal,Sabadell,Lugo,Ponferradina,Recreativo,Numancia,Sporting,Murcia,RMCastilla,Guadalajara,Mirandés,Huesca,Xerez,Hércules,Racing,}
@attribute visitor {Barcelona,Atlético,R.Madrid,Málaga,Betis,Rayo,Levante,Valencia,R.Sociedad,Valladolid,Sevilla,Getafe,Athletic,Zaragoza,Espanyol,Celta,Granada,Osasuna,Mallorca,Deportivo,Elche,Almería,Girona,Alcorcón,BarcelonaB,Córdoba,LasPalmas,Villarreal,Sabadell,Lugo,Ponferradina,Recreativo,Numancia,Sporting,Murcia,RMCastilla,Guadalajara,Mirandés,Huesca,Xerez,Hércules,Racing,}
@attribute home_points NUMERIC
@attribute home_diff NUMERIC
@attribute home_wins NUMERIC
@attribute home_draws NUMERIC
@attribute home_loses NUMERIC
@attribute visitor_points NUMERIC
@attribute visitor_diff NUMERIC
@attribute visitor_wins NUMERIC
@attribute visitor_draws NUMERIC
@attribute visitor_loses NUMERIC
@attribute home_historial NUMERIC
@attribute visitor_historial NUMERIC
@attribute result {WIN,DRAW,LOOSE}

@data
Levante,Valladolid,34,-4,10,4,8,29,3,8,5,9,7,7,WIN
Valladolid,Levante,29,3,8,5,9,34,-4,10,4,8,7,7,LOOSE
Zaragoza,Espanyol,24,-9,7,3,12,23,-9,5,8,9,2,8,DRAW
Espanyol,Zaragoza,23,-9,5,8,9,24,-9,7,3,12,8,2,DRAW
Mallorca,Málaga,18,-17,4,6,12,36,14,10,6,6,2,5,LOOSE
Málaga,Mallorca,36,14,10,6,6,18,-17,4,6,12,5,2,WIN
Celta,R.Sociedad,21,-5,5,6,11,31,4,8,7,7,6,6,DRAW
R.Sociedad,Celta,31,4,8,7,7,21,-5,5,6,11,6,6,DRAW
Barcelona,Osasuna,59,47,19,2,1,19,-9,4,7,11,10,5,WIN
Osasuna,Barcelona,19,-9,4,7,11,59,47,19,2,1,5,10,LOOSE
Deportivo,Valencia,17,-19,3,8,11,34,-4,10,4,8,5,10,LOOSE
Valencia,Deportivo,34,-4,10,4,8,17,-19,3,8,11,10,5,WIN
R.Madrid,Getafe,44,34,13,5,4,27,-10,7,6,9,11,3,WIN
Getafe,R.Madrid,27,-10,7,6,9,44,34,13,5,4,3,11,LOOSE
Sevilla,Granada,27,-2,7,6,9,21,-14,5,6,11,8,5,WIN
Granada,Sevilla,21,-14,5,6,11,27,-2,7,6,9,5,8,LOOSE
Rayo,Betis,35,-6,11,2,9,36,-2,11,3,8,10,8,WIN
